tweet_text,cyberbullying_type
@AfiaDrah I now understand the jubilation and cheers from the congregation. These students still haven’t seen anyth… https://t.co/YyFgUyBCGX,0
"@kwesikwaa @panjianoff @tv3_ghana It's not the same thing. Framing it as ""just kissing"" means that people can prete… https://t.co/3QThkafohT",0
Kids going to college? Here's what you need to know about #TitleIX and campus sexual assault: https://t.co/d86MknpQGU,0
@BarnsGreg Hard to say when the reasons are kept secret. If the ALP genuinely dont think this was sexual harassment… https://t.co/RSOoM7YAAm,0
"Umm- clearly i dont notice red flags… but that’s one, and i think they need to open an investigation for sexual har… https://t.co/q5HOCEzO9b",0
Five Takeaways For Private Employers Following The Cuomo Sexual Harassment Investigation https://t.co/TBzB8udfl1 By @McLaneMiddleton,0
"housing situation not stable; getting fucked over by people in trust situations: police harassment, medical profess… https://t.co/8QRviF8oMc",0
"Personnel of San Gabriel PS conducted info drive and distribution of leaflets pertaining to Sexual Harassment, Anti… https://t.co/br6y2lMesR",0
"CBI to investigate sexual harassment allegations against senior Congress leader Oommen Chandy, and five others link… https://t.co/tRJrtWHXnf",0
the sexualisation and objectification of women has reached such a level that men cannot even look at their own fema… https://t.co/Ne9qwTs3rd,0
"@BandLifePirate @DesmondLala_ Indecent exposure is sexual harassment.
Actually there's a law on this",0
"as someone who has experienced sexual harassment, a big middle finger to u anon ang bobo mo https://t.co/qkxnBVSO8a",0
@iso_amari2 Indecent exposure is sexual harassment,0
"Sexual harassment!? S, sorry?",0
@j_garima_j Suhel Seth’s claim to fame is being a sexual harassment accused ...,0
@erikkain Sexual objectification ≠ Sexual harassment.  There's nothing wrong with enjoying or producing something i… https://t.co/14othxdG30,0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/haQrvOJmc0",0
"We live in a world that is progressing every day. Unfortunately, even in these modern and technologically advanced… https://t.co/08PognLGVJ",0
@sgrate__ That's a sexual harassment,0
@DanielleDorian @ChristianVet77 Oh yes bingo!! I forgot to bring that up but yeah how interesting DOJ drops the nur… https://t.co/UmNk9J471g,0
"@terrencegordon @SebGorka Tax evasion, sexual harassment and abuse, inciting violence….JAIL TIME…you know who #Hypocrite",0
"Too little, too late.
By dithering PM whether it is 
* bushfire response
* sexual harassment
* building quarantine… https://t.co/ZDaWw2dwqq",0
"TW// SEXUAL HARASSMENT 
the girl who was sexualized and harassed is again so depressed, those people are harassing… https://t.co/Pc3RkgES0y",0
"#Gujarat: Court orders compensation to girl who suffered sexual harassment and left school.

https://t.co/NjBN3nN9fG",0
@Fenbeast @_p_rittenhouse Sexual harassment in cabs is a common problem. Both against riders and drivers.,0
The California Department of Fair Employment and Housing (DFEH) has gone to court to compel Riot Games into telling… https://t.co/3DmrDanj7Y,0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/EHBGw10i9F",0
Watchdog launches investigation into Ubisoft Singapore over alleged unfairness and sexual harassment: A watchdog ha… https://t.co/tmXk2Jbjtx,0
"@bapakkautbc tbh you’re right, even though si revina took it too far, that message she received is intolerable. may… https://t.co/hbFPHfBhc0",0
@Lyn_Abla And see how the congregation is jubilating instead of disapproving of this shameful act. It seems to me t… https://t.co/ZT5eLYlskU,0
"Although a teenage drug dealer did once make the effort to rescue me from sexual harassment, which is at least, you know, adjacent. Right",0
"so i'm speaking from a non-biased perspective. no matter what your sex is, sexual harassment won't stop if there ar… https://t.co/aDd6k3VWwI",0
STOP BEING SEXUAL HARASSMENT ENABLER. why do some people have the need to comment on a video about something very d… https://t.co/UKGuNnxsIC,0
"@haaretzcom This sick story must stop.  Otherwise, I’ll have my grandma sue President Herbert Hoover and the White… https://t.co/BgVklp6Lcm",0
@MarketWatch It’s cool that you gave him advice on how to spin the sexual harassment stuff. If it were my brother I… https://t.co/LIx3IWNRl4,0
Addressing definitional clarity is important for bystanders to assume the social responsibility of intervening dire… https://t.co/BStOrHUFWt,0
"Kerri Lynn Stone @IReadJotwell, No More Haven For Horseplay? https://t.co/bMfCJwmEXV reviewing Kimberly D. Bailey,… https://t.co/5xtkkRK9oQ",0
This is really disgusting. Ghana is focusing on trying to pass a ridiculous homophobic bill and control the private… https://t.co/GpBcjFgzzh,0
"@Ubi_Melo According to the press Ubisoft went from sexual harassment to the extreme opposite : woke culture, with e… https://t.co/MQFmWYZCW8",0
@GameSpot Not enough #facepalm to express the cringe I experience of how much @Ubisoft try to be liked again after… https://t.co/YSbjb4RSX8,0
Five Takeaways For Private Employers Following The Cuomo Sexual Harassment Investigation https://t.co/mHIaSWRMwN By @McLaneMiddleton,0
#OnThisDay 1998- Bill Clinton becomes the first sitting #POTUS to testify before the Office of the Independent Coun… https://t.co/lqsUoHndXO,0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/zsVJhEUyTd",0
@IGN Sexual harassment allegation in Ubisoft coming out in 3...2...1,0
"Ubisoft Singapore Head Responds To Toxic Culture And Sexual Harassment Reports, As Employment Watchdog Opens Invest… https://t.co/nrzsd5I6T7",0
#ChrisCuomo breaks silence on brother #AndrewCuomo's sexual harassment scandal and resignation https://t.co/siV7ZLOBYC,0
"Morrison always plays catch up on all the major decisions - national bushfire crisis, covid19, Afghanistan, Ministe… https://t.co/T1FvDq3DEP",0
Yes i know i tweeted how she was being too much but after i saw others’ opinion on this i realized that people conc… https://t.co/TEPZTQ5tof,0
"Karena when it comes to sexual harassment, the last thing u should concern abt it the victim’s ethics, we’re not in… https://t.co/5RbX09PKEf",0
"Damn this one wasn't ready in time to deflect from the Ubi sexual harassment allegations.

Better luck next time gu… https://t.co/OIJoXM0Usz",0
@ladynoirose she doesnt need to feel threatened for it to be sexual assault tho. its not thag complicated she keeps… https://t.co/RuMnrIwBOM,0
“I’m a brother.” CNN Anchor Chris Cuomo addresses the elephant in the room for the first time- the sexual harassmen… https://t.co/zFZuKo2zpz,0
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/b6Mghd3p6l",0
Bob Dylan Accused Of Sexual Harassment – The Union Magazine https://t.co/MzEVxUXWpO,0
"yosuke is also burning in hell ngl. homophobia notwithstanding, his shadow dungeon was high-key giving sexual haras… https://t.co/OO6AIMUcfO",0
Sexual harassment cannot happen in a Catholic Church?????????? Sir. https://t.co/UQyQvk2sHk,0
"Rivers Lecturers Suspended Over Alleged Sexual Harassment, Extortion https://t.co/BzAUD6jnUd",0
We @SuojellaanLapsi are joining the @STM_Uutiset working group for national implementation of the… https://t.co/1Md7O9L3L5,0
@SALibMedia Well do I remember the sexual harassment of staff in a @SALibMedia electorate office. If the MP had suc… https://t.co/Fe9Z32cnhF,0
"@audhinafh *sigh* i'm not trying despise the victim horrible experience

masa kudu olimpiade penderitaan dulu ... d… https://t.co/JSrtNlT3Nj",0
"So @tv3_ghana, 2 days ago you platformed a terrorist and allowed him to spread lies, misinformation and incite hatr… https://t.co/xakVnilnAx",0
@AnsgarTOdinson and i swear to god if this another attempt to distract from ongoing sexual harassment scandals,0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/EeyG9dnijS",0
"CNN anchor Chris Cuomo  acknowledged he advised his brother , New York Gov. Andrew Cuomo , to step down in the face… https://t.co/PpPYMoDmFJ",0
"TW // sexual harassment

did you get the message about her?",0
@LordListoHQ Sexual harassment being publicised... Clearly the last two girls were uncomfortable with thr so called… https://t.co/UvhaT3TM8c,0
Ubisoft Singapore investigated by fair employment watchdog for allegations of sexual harassment and discrimination https://t.co/qTbEwfZURH,0
Ubisoft Singapore investigated by fair employment watchdog for allegations of sexual harassment and discrimination https://t.co/qTbEwfZURH,0
Ubisoft Singapore investigated by fair employment watchdog for allegations of sexual harassment and discrimination https://t.co/RD9FCTIvcA,0
"@DiLeed Zero safeguarding. They didn’t even tell me what the fire escape plan was, so co-signing sexual harassment is not surprising either.",0
"🗣️ Our Director of #Education &amp; Skills, Lisa Capper, in @cypnow: ""By the time many of the young people get our cent… https://t.co/sV8zeXii9Y",0
"@JuneSummer1 Cuomo has apparently had a long history of pushing people aside that question him, compete with him, s… https://t.co/qNAsC66baI",0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/haVmBB8F5o",0
Problems with military sexual harassment and assault are international problems. These issues are not unique to the… https://t.co/QWp4exUvsr,0
"@Jim_Jordan @MarkMeadows Sexual harassment……oh wait.  That wasn’t in the white house, that was at Ohio state.  You… https://t.co/iAedDDtN6a",0
@pepega_pig_ Both Ubisoft and Blizzard think changing a few things here and there will make us forget about their sexual harassment cases 🥴,0
"With her experience being part of the team to draft &amp; lobby for the tabling of the Sexual Harassment Bill, we will… https://t.co/4qOdf9HZYu",0
"@DrunkyMazter @GameSpot Bullshit. They've harboured sexual harassment, violence and bullying toward women for years… https://t.co/6p2TiZyTe9",0
"Deadline: CNN’s Chris Cuomo Attacks Critics, Admits He Urged Brother Andrew Cuomo To Resign As NY Governor Over Sex… https://t.co/6OSk9ZsB2H",0
"@goldylookfleece Oh right, things have changed a lot since then. No sexual harassment allowed 😂. NOT that I’m sayin… https://t.co/LAiwTegjZj",0
"Shout-Up is back today! Our first training session since 2019 with a group of venue managers from Newcastle's bars,… https://t.co/O1zqAB78pF",0
@chibaku_tensei_ @RValiullah @readytotakethem @naafas1 @ChaoticNormalcy @FinancialTimes In islam women is required… https://t.co/jwhpAWOa7F,0
Sexual harassment right there https://t.co/25VE9Rne8K,0
"@the_mfz @Dani77k He has bin f**king the girls over the years, now he ain't shy to do it publicly. The church or co… https://t.co/cRItRFti6y",0
CNN's Chris Cuomo Addresses Brother Andrew's Resignation Amid Sexual Harassment Accusations: CNN's Chris Cuomo is a… https://t.co/oJ2v1sYeex,0
kim w00jin you will never be famous. thats what u get for making fun of and promoting yourself using sexual harassm… https://t.co/1dBJrrEx73,0
Watchdog launches investigation into Ubisoft Singapore over alleged unfairness and sexual harassment https://t.co/p7NI4qAKB3,0
"@shillahshan I think it's narrowing the conversation if we say girls ,we shud give room for men to also share thea… https://t.co/SZJJjDDH6J",0
"Laws governing rape, molestation, domestic violence, sexual harassment &amp; dowry have been very loosely drafted in a… https://t.co/VWX4QW55CJ",0
"Or any type of sexual harassment. Don’t protect your ‘bros’ when they do it, call them out for their wrong doing. https://t.co/WE3isLyko9",0
"Riot Games is reportedly delaying the investigation it's facing for gender discrimination and sexual harassment, ac… https://t.co/3u2FTBEzC6",0
Watchdog launches investigation into Ubisoft Singapore over alleged unfairness and sexual harassment https://t.co/Yze9WLt3vx,0
"Warning ladies, @saintnick11_ is back in full sexual harassment mode sending unsolicited naked photos again. I suggest you all block.",0
What's the 411? CNN's Chris Cuomo Addresses Brother Andrew's Resignation Amid Sexual Harassment Accusations… https://t.co/YBQ790fuDx,0
"@UndercoverMendy @MUFC_Aodhan @MissCourtx you said “get shit” like it’s just people disagreeing, it’s literal daily… https://t.co/favYp7HjfU",0
A conscientious effort to increasing the attention and awareness regarding the issues of sexual harassment and assa… https://t.co/GchtUNM64u,0
"..as “innocent until proven guilty” and offer them a fair and empathic process. 

Rape/ sexual harassment is undoub… https://t.co/ubnppOjAds",0
We should learn to routinely challenge ourselves to live with a paradox when we hear accusations of sexual harassme… https://t.co/LUJj9I5eVc,0
"tw // unsolicited nsfw pics, sexual harassment

gahd this is why i rarely accept friend requests from men now. if i… https://t.co/4vTSH5DQDi",0
False accusers who are especially women know and exploit the fact that rape/sexual harassment are serious and dange… https://t.co/C7cLhtJzy1,0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/VEntN2j6Vx",0
As a man when allegations of rape/sexual harassment are leveled against you; If you don’t fashion up a means to den… https://t.co/GzsZmBQzUB,0
The standard at first sight has always been to believe all women who make allegations of rape/ sexual harassment.… https://t.co/ZL1CPIwWfa,0
"FALSE ACCUSATIONS OF RAPE /SEXUAL HARASSMENT:IT IMPLICATIONS ON GENUINE VICTIMS 

There’s little debate about how t… https://t.co/QM0nJt3ILY",0
@BotPhilosopher @BillOReilly He is such a brilliant host and commentator. I just can’t get over his arrogance that… https://t.co/5WZPOKAJfd,0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/FYiHwH0CEz",0
The casual nature of sexual harassment in this country is so sickening. Young and old men alike. Like ew bro can yo… https://t.co/r7MCVmYpIm,0
"@the_mfz When you normalise sexual harassment, abuse and rape in the culture. So disgusting 🤮",0
"//Sexual harassment

Did you got the message about ?",0
Call it what is...What the priest did amounts to sexual harassment and assault. And why are media outlets sharing i… https://t.co/AxX7CrMDbP,0
"🌅 #GodMorningTuesday
STOP WATCHING MOVIES!
Movies are the instigators of sexual harassment.

""Kindly Visit  SANT RA… https://t.co/rBEwrb9tXo",0
"@nip_16 In Afghanistan the, ""LGBTQ+ community are forced to keep their gender identity &amp; sexual orientation a secre… https://t.co/gg0noeCN3B",0
"Chris Cuomo Breaks Silence On Brother's Sexual Harassment Scandal, Resignation

Chris Cuomo

CNN anchor Chris Cuomo… https://t.co/2DbnviO1Qp",0
